country,2000 year,2002 year,2004 year,2006 year,2008 year,2010 year,2012 year,2014 year,2016 year,2018 year,2020 year,,,,,,,,,,
Afghanistan," 2,699 "," 3,000 "," 3,500 "," 3,772 "," 4,048 "," 4,431 "," 4,987 "," 5,613 "," 6,254 "," 6,797 "," 7,260 ",,,,,,,,,,
Albania, 366 , 346 , 325 , 299 , 268 , 236 , 205 , 170 , 133 , 94 , 51 ,,,,,,,,,,
Algeria," 9,000 "," 8,000 "," 7,800 "," 7,500 "," 7,097 "," 7,513 "," 7,478 "," 6,861 "," 6,115 "," 5,239 "," 4,238 ",,,,,,,,,,
Angola," 1,622 "," 1,816 "," 2,034 "," 2,967 "," 4,048 "," 5,317 "," 6,794 "," 8,497 "," 10,434 "," 12,617 "," 13,733 ",,,,,,,,,,
Argentina," 6,703 "," 6,636 "," 6,557 "," 6,464 "," 6,357 "," 6,241 "," 6,114 "," 6,000 "," 5,900 "," 5,897 "," 5,700 ",,,,,,,,,,
Armenia, 254 , 240 , 227 , 214 , 201 , 189 , 180 , 172 , 164 , 156 , 156 ,,,,,,,,,,
Australia and New Zealand, 26 , 27 , 24 , 22 , 19 , 16 , 13 , 9 , 7 , 7 , 8 ,,,,,,,,,,
Austria, 219 , 214 , 214 , 213 , 300 , 500 , 509 , 580 , 600 , 620 , 670 ,,,,,,,,,,
Azerbaijan," 2,126 "," 1,926 "," 1,717 "," 1,495 "," 1,259 "," 1,299 "," 1,344 "," 1,399 "," 1,407 "," 1,450 "," 1,580 ",,,,,,,,,,
Bangladesh," 18,100 "," 19,501 "," 21,042 "," 22,552 "," 24,025 "," 25,533 "," 27,126 "," 28,760 "," 30,389 "," 32,004 "," 33,619 ",,,,,,,,,,
Belarus," 1,220 "," 1,115 "," 1,009 ", 905 , 802 , 702 , 601 , 499 , 393 , 283 , 170 ,,,,,,,,,,
Belize, 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 28 , 29 ,,,,,,,,,,
Benin," 1,891 "," 2,035 "," 2,206 "," 2,384 "," 2,572 "," 2,771 "," 2,984 "," 3,211 "," 3,454 "," 3,713 "," 3,987 ",,,,,,,,,,
Bolivia," 2,986 "," 3,025 "," 3,052 "," 3,069 "," 3,076 "," 3,072 "," 3,214 "," 3,351 "," 3,400 "," 3,587 "," 3,897 ",,,,,,,,,,
Bosnia & Herzegovina, 81 , 83 , 84 , 82 , 79 , 76 , 72 , 67 , 67 , 68 , -   ,,,,,,,,,,
Botswana, 540 , 549 , 553 , 556 , 581 , 605 , 622 , 631 , 638 , 641 , 678 ,,,,,,,,,,
Brazil," 49,441 "," 46,366 "," 42,877 "," 39,002 "," 34,766 "," 30,213 "," 25,373 "," 26,008 "," 26,617 "," 25,876 "," 25,598 ",,,,,,,,,,
Burkina Faso," 1,703 "," 1,814 "," 1,923 "," 2,024 "," 2,072 "," 2,090 "," 2,084 "," 2,049 "," 1,977 "," 1,862 "," 1,699 ",,,,,,,,,,
Burundi, 421 , 466 , 506 , 529 , 551 , 569 , 580 , 585 , 585 , 577 , 602 ,,,,,,,,,,
Cambodia," 1,915 "," 1,883 "," 1,832 "," 1,765 "," 1,692 "," 1,644 "," 1,585 "," 1,511 "," 1,413 "," 1,508 "," 1,608 ",,,,,,,,,,
Cameroon," 4,547 "," 4,668 "," 4,783 "," 4,887 "," 4,978 "," 5,047 "," 5,089 "," 5,099 "," 5,071 "," 5,000 "," 4,882 ",,,,,,,,,,
Central Africa Republic," 1,215 "," 1,228 "," 1,236 "," 1,243 "," 1,248 "," 1,242 "," 1,219 "," 1,243 "," 1,286 "," 1,290 "," 1,376 ",,,,,,,,,,
Central Asia and Southern Asia," 250,317 "," 260,509 "," 271,078 "," 282,167 "," 292,452 "," 302,697 "," 313,017 "," 323,441 "," 333,890 "," 344,495 "," 359,331 ",,,,,,,,,,
Chad," 1,653 "," 1,767 "," 1,888 "," 2,007 "," 2,123 "," 2,246 "," 2,386 "," 2,541 "," 2,706 "," 2,903 "," 3,141 ",,,,,,,,,,
Chile," 1,920 "," 1,484 "," 1,015 "," 1,035 "," 1,058 "," 1,198 "," 1,287 "," 1,327 "," 1,498 "," 1,584 "," 1,590 ",,,,,,,,,,
Colombia," 6,328 "," 6,167 "," 5,973 "," 5,743 "," 5,477 "," 5,175 "," 4,837 "," 4,466 "," 4,062 "," 3,876 "," 3,967 ",,,,,,,,,,
Comoros, 98 , 104 , 109 , 116 , 123 , 130 , 139 , 148 , 156 , 165 , 170 ,,,,,,,,,,
Congo," 1,662 "," 1,784 "," 1,848 "," 1,852 "," 1,853 "," 1,831 "," 1,777 "," 1,697 "," 1,600 "," 1,597 "," 1,704 ",,,,,,,,,,
Costa Rica, 294 , 296 , 293 , 287 , 278 , 265 , 248 , 227 , 203 , 175 , 144 ,,,,,,,,,,
Cote d'Ivoire," 4,830 "," 5,006 "," 5,162 "," 5,332 "," 5,522 "," 5,733 "," 5,967 "," 6,217 "," 6,471 "," 6,729 "," 7,201 ",,,,,,,,,,
Cuba, 181 , 183 , 185 , 276 , 367 , 460 , 555 , 650 , 746 , 840 , 935 ,,,,,,,,,,
Democratic Republic of Congo," 10,987 "," 12,922 "," 14,111 "," 15,539 "," 17,248 "," 19,161 "," 21,292 "," 23,652 "," 26,249 "," 29,095 "," 32,010 ",,,,,,,,,,
Dominican Republic," 1,595 "," 1,556 "," 1,528 "," 1,485 "," 1,422 "," 1,339 "," 1,230 "," 1,100 ", 952 , 993 ," 1,031 ",,,,,,,,,,
Eastern and South-Eastern Asia," 313,358 "," 320,173 "," 325,835 "," 328,456 "," 328,509 "," 326,680 "," 322,500 "," 316,089 "," 307,327 "," 305,119 "," 306,620 ",,,,,,,,,,
Ecuador," 4,372 "," 4,622 "," 4,803 "," 4,998 "," 5,000 "," 5,200 "," 5,400 "," 5,694 "," 5,798 "," 5,978 "," 6,087 ",,,,,,,,,,
Egypt," 12,633 "," 11,431 "," 10,111 "," 8,651 "," 7,036 "," 5,310 "," 3,456 "," 1,438 ", 368 , 382 , 400 ,,,,,,,,,,
El Salvador," 1,698 "," 1,765 "," 1,815 "," 1,751 "," 1,575 "," 1,391 "," 1,191 ", 973 , 737 , 762 , 785 ,,,,,,,,,,
Eswatini, 133 , 134 , 134 , 118 , 103 , 89 , 73 , 55 , 34 , 36 , 38 ,,,,,,,,,,
Ethiopia," 9,040 "," 9,493 "," 9,948 "," 10,391 "," 10,958 "," 11,649 "," 12,356 "," 13,042 "," 13,713 "," 14,360 "," 15,733 ",,,,,,,,,,
Europe and Northern America," 10,725 "," 10,479 "," 9,923 "," 9,161 "," 8,354 "," 7,651 "," 7,010 "," 6,365 "," 7,136 "," 6,658 "," 5,909 ",,,,,,,,,,
Fiji, 67 , 60 , 61 , 60 , 58 , 56 , 53 , 50 , 47 , 48 , 50 ,,,,,,,,,,
Gabon, 558 , 578 , 599 , 622 , 647 , 674 , 703 , 729 , 777 , 819 , 867 ,,,,,,,,,,
Gambia, 336 , 359 , 382 , 405 , 428 , 451 , 474 , 497 , 519 , 540 , 558 ,,,,,,,,,,
Georgia, 338 , 330 , 319 , 298 , 278 , 256 , 235 , 214 , 196 , 180 , 164 ,,,,,,,,,,
Ghana," 5,022 "," 5,143 "," 5,250 "," 5,336 "," 5,396 "," 5,416 "," 5,388 "," 5,307 "," 5,171 "," 5,531 "," 5,902 ",,,,,,,,,,
Guatemala," 2,931 "," 2,991 "," 3,044 "," 3,086 "," 3,117 "," 3,138 "," 3,148 "," 3,149 "," 3,138 "," 3,310 "," 3,491 ",,,,,,,,,,
Guinea," 1,106 "," 1,191 "," 1,285 "," 1,388 "," 1,504 "," 1,630 "," 1,765 "," 1,913 "," 2,081 "," 2,272 "," 2,485 ",,,,,,,,,,
Guinea-Bissau, 305 , 350 , 389 , 400 , 438 , 469 , 504 , 516 , 525 , 533 , 538 ,,,,,,,,,,
Guyana, 56 , 56 , 53 , 49 , 45 , 41 , 37 , 34 , 32 , 29 , 26 ,,,,,,,,,,
Haiti," 1,865 "," 2,063 "," 2,230 "," 2,354 "," 2,478 "," 2,601 "," 2,721 "," 2,836 "," 2,945 "," 3,043 "," 3,174 ",,,,,,,,,,
Honduras," 1,317 "," 1,420 "," 1,493 "," 1,519 "," 1,535 "," 1,540 "," 1,533 "," 1,515 "," 1,602 "," 1,694 "," 1,786 ",,,,,,,,,,
Hungary," 1,016 ", 940 , 860 , 780 , 706 , 623 , 543 , 496 , 497 , 480 , 478 ,,,,,,,,,,
India," 161,101 "," 168,051 "," 175,430 "," 182,790 "," 190,103 "," 197,240 "," 204,193 "," 211,207 "," 218,417 "," 225,832 "," 236,771 ",,,,,,,,,,
Indonesia," 31,210 "," 31,719 "," 32,123 "," 32,401 "," 32,542 "," 32,508 "," 32,160 "," 31,620 "," 30,862 "," 29,872 "," 29,929 ",,,,,,,,,,
Iraq," 5,471 "," 6,063 "," 6,688 "," 7,344 "," 8,041 "," 8,847 "," 9,822 "," 10,917 "," 12,061 "," 13,250 "," 14,517 ",,,,,,,,,,
Ireland, 141 , 152 , 167 , 180 , 198 , 214 , 223 , 234 , 246 , 258 , 264 ,,,,,,,,,,
Jordan," 1,598 "," 1,560 "," 1,533 "," 1,587 "," 1,667 "," 1,754 "," 1,835 "," 1,880 "," 1,830 "," 1,717 "," 1,561 ",,,,,,,,,,
Kazakhstan," 2,066 "," 1,841 "," 1,639 "," 1,429 "," 1,208 ", 982 , 748 , 496 , 225 , 84 , 86 ,,,,,,,,,,
Kenya," 3,953 "," 4,216 "," 4,491 "," 4,782 "," 5,088 "," 5,405 "," 5,735 "," 6,078 "," 6,428 "," 6,998 "," 7,609 ",,,,,,,,,,
Kyrgyzstan, 819 , 752 , 679 , 610 , 544 , 475 , 403 , 326 , 244 , 154 , 57 ,,,,,,,,,,
Lao People's Democratic Republic, 637 , 674 , 706 , 716 , 712 , 700 , 678 , 649 , 616 , 575 , 567 ,,,,,,,,,,
Latin America and The Carbbean," 126,505 "," 124,436 "," 119,964 "," 115,414 "," 106,542 "," 102,279 "," 93,048 "," 91,470 "," 87,229 "," 94,201 "," 95,502 ",,,,,,,,,,
Lebanon," 2,000 "," 2,807 "," 3,088 "," 3,253 "," 2,408 "," 1,598 ", 736 , 222 , 239 , 200 , 198 ,,,,,,,,,,
Lesotho, 229 , 246 , 246 , 244 , 240 , 234 , 226 , 216 , 204 , 189 , 172 ,,,,,,,,,,
Liberia," 1,000 "," 1,041 "," 1,096 "," 1,168 "," 1,256 "," 1,341 "," 1,407 "," 1,463 "," 1,523 "," 1,586 "," 1,698 ",,,,,,,,,,
Madagascar," 3,910 "," 4,129 "," 4,351 "," 4,679 "," 5,019 "," 5,366 "," 5,719 "," 6,079 "," 6,447 "," 6,820 "," 7,194 ",,,,,,,,,,
Malawi," 1,353 "," 1,384 "," 1,411 "," 1,441 "," 1,473 "," 1,505 "," 1,536 "," 1,564 "," 1,592 "," 1,616 "," 1,760 ",,,,,,,,,,
Maldives, 20 , 35 , 42 , 47 , 50 , 53 , 56 , 59 , 61 , 63 , 65 ,,,,,,,,,,
