رقم الطريق,اسم الطريق عربي,اتجاه الطريق عربي,اتجاه الطريق انجليزي,التصنيف الهندسي للطريق عربي,التصنيف الهندسي للطريق انجليزي,ملكية الطريق عربي,ملكية الطريق انجليزي,التصنيف الوظيفي للطريق عربي,التصنيف الوظيفي للطريق انجليزي,حالة الطريق عربي,حالة الطريق انجليزي,الطول الهندسي الطريق,المنطقة
2009,طريق حرس الحدود,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,فرعي,Collector,تحت الصيانة,Under Maintenance,14.013966399461607,عسير
522,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.09837333223745055,الرياض
303,جدة  -   رابغ,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.4704877843887732,مكة المكرمة
303,جدة  -   رابغ,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.0736450009418603,مكة المكرمة
303,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.5789537934104751,مكة المكرمة
375,دائري العلا,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.04449321009149574,المدينة المنورة
375,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.059713285738541774,المدينة المنورة
375,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.3982469739708482,المدينة المنورة
375,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.043418185296412753,المدينة المنورة
375,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.3459137771525952,المدينة المنورة
375,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.06674387110755184,المدينة المنورة
395,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,3.106045671610438,الجوف
395,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.6002222264767785,الجوف
395,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.4066317070498544,الجوف
395,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.8107201386423964,الجوف
395,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.6482661918384183,الجوف
211,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.6840999190379241,جازان
522,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.12146640422011493,الرياض
303,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.4122954480324749,المدينة المنورة
303,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.21381523120727838,المدينة المنورة
303,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.5550965572887192,المدينة المنورة
303,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.5290915855293475,المدينة المنورة
303,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.2080544311599791,المدينة المنورة
303,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.39862909538523195,المدينة المنورة
414,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.046476943187841305,القصيم
414,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.03881224091322155,القصيم
414,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.8833686956037915,القصيم
414,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.9033406794482247,القصيم
414,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.0529786662523222,القصيم
414,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.06067549044150225,القصيم
419,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.2137608109789028,القصيم
419,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.11801060109076952,القصيم
419,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.5061438305644776,القصيم
419,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.7842348333071004,القصيم
419,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.08194217548548945,القصيم
419,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.16968079077714102,القصيم
303,رابغ  -   ينبع,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.39918015944223334,المدينة المنورة
425,-999,رئيسي,Main,سريع,Highway,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.4011883711508428,القصيم
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,12.111646279436593,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.1573741669942497,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,8.462931957193172,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,7.850467260981499,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,6.9572191727381485,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.33472444990048916,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.35766439725567545,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.5103166808126472,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.374218892091868,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,2.8591835594844337,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,3.2248458873511514,عسير
211,المجاردة / المخواة,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,27.023328126781816,مكة المكرمة
211,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت التنفيذ,Under Construction,0.8461396695897381,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,2.0840593135370127,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت التنفيذ,Under Construction,4.737320850862451,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت التنفيذ,Under Construction,1.5820608790510504,عسير
211,المجاردة / المخواة,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,2.7838351685429013,مكة المكرمة
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.5065733563839825,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,2.466667495913719,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.3895840856720736,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت التنفيذ,Under Construction,0.9620529820333356,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.1876380869361128,عسير
211,المجاردة / المخواة,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.0980945723578104,مكة المكرمة
211,المجاردة / المخواة,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,6.649476017493823,مكة المكرمة
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,15.393254787643063,الباحة
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,7.217673209845857,مكة المكرمة
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,16.875717531326785,مكة المكرمة
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.9990567491064845,مكة المكرمة
211,المجاردة / المخواة,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,3.602053968565048,مكة المكرمة
211,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.041425036903941795,عسير
211,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.04001627693720633,عسير
211,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.04493318667539308,عسير
211,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.04033307965458967,عسير
211,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.35177638558032015,عسير
211,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.42629163511313733,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.6959322239847443,جازان
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,10.626348175609927,جازان
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.59280467226294,جازان
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,14.949768928545145,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.31747219740014654,عسير
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,21.57470725657161,عسير
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.6710648358129692,عسير
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,14.445831565412934,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,3.076009856061007,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,5.123700494937262,عسير
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,2.155979411792741,مكة المكرمة
177,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.9145289496931296,نجران
