Ñâå Çä×Ñêâ,ÇÓå Çä×Ñêâ ÙÑÈê,ÇÊÌÇç Çä×Ñêâ ÙÑÈê,ÇÊÌÇç Çä×Ñêâ ÇæÌäêÒê,ÇäÊÕæêá ÇäçæÏÓê ää×Ñêâ ÙÑÈê,ÇäÊÕæêá ÇäçæÏÓê ää×Ñêâ ÇæÌäêÒê,åäãêÉ Çä×Ñêâ ÙÑÈê,åäãêÉ Çä×Ñêâ ÇæÌäêÒê,ÇäÊÕæêá ÇäèØêáê ää×Ñêâ ÙÑÈê,ÇäÊÕæêá ÇäèØêáê ää×Ñêâ ÇæÌäêÒê,ÍÇäÉ Çä×Ñêâ ÙÑÈê,ÍÇäÉ Çä×Ñêâ ÇæÌäêÒê,Çä×èä ÇäçæÏÓê Çä×Ñêâ,Çäåæ×âÉ
2009,×Ñêâ ÍÑÓ ÇäÍÏèÏ,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,áÑÙê,Collector,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,14.0139664,ÙÓêÑ
522,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.098373332,ÇäÑêÇÖ
303,ÌÏÉ  -   ÑÇÈÚ,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.470487784,åãÉ ÇäåãÑåÉ
303,ÌÏÉ  -   ÑÇÈÚ,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.073645001,åãÉ ÇäåãÑåÉ
303,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.578953793,åãÉ ÇäåãÑåÉ
375,ÏÇÆÑê ÇäÙäÇ,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.04449321,ÇäåÏêæÉ ÇäåæèÑÉ
375,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.059713286,ÇäåÏêæÉ ÇäåæèÑÉ
375,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.398246974,ÇäåÏêæÉ ÇäåæèÑÉ
375,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.043418185,ÇäåÏêæÉ ÇäåæèÑÉ
375,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.345913777,ÇäåÏêæÉ ÇäåæèÑÉ
